gender,nameLabel
f,Samantha
f,Katherine
f,Barbara
f,Zoe
f,Lila
f,Pamela
f,Charlotte
f,Paula
f,Serena
f,Lydia
f,Daria
f,Briana
f,Bridget
f,Rachel
f,Cynthia
f,Vanessa
f,Eugenia
f,Eleanor
f,Tessa
f,Genevieve
f,Glenda
f,Callista
f,Shanice
f,Cara
f,Hermia
f,Ruby
f,Aurora
f,Chelsea
f,Cheryl
f,Claire
f,Daniela
f,Megan
f,Lucinda
f,Katie
f,Alanna
f,Darlene
f,Debbie
f,Debra
f,Medea
f,Karen
f,Patricia
f,Allegra
f,Penelope
f,Brandy
f,Gwendolyn
f,May
f,Mia
f,Alexa
f,Violette
f,Latoya
f,Liana
f,Lori
f,Maeve
f,Donna
f,Betty
f,Ellen
f,Shawna
f,Maureen
f,Antonia
f,Sunshine
f,Felicity
f,Tracy
f,Tonya
f,Etta
f,Evelyn
f,Evin
f,Fabienne
f,Larissa
f,Moira
f,Natasha
f,Frances
f,Millicent
f,Fran
f,Sandra
f,Brittany
f,Geraldine
f,Gillian
f,Grace
f,Hannah
f,Lisa
f,Hattie
f,Hetty
f,Maggie
f,Jenette
f,Lenny
f,Iona
f,Adele
f,Adelaide
f,Adrienne
f,Georgia
f,Elizabeth
f,Irene
f,Jacqueline
f,Aimee
f,Amanda
f,Amber
f,Amelia
f,Ann
f,Anne
f,Annie
f,Victoria
f,Afra
f,Elfrida
f,Virginia
f,April
f,Jessica
f,Olivia
f,Kendra
f,Diana
f,Alice
f,Lena
f,Fiona
f,Josephine
f,Mary
f,Berenice
f,Edna
f,Corinna
f,Anastasia
f,Henrietta
f,Lorelei
f,Aviva
f,Lilla
f,Cordelia
f,Sara
f,Kaylee
f,Rosanna
f,Giselle
f,Audrey
f,Alisha
f,Dorothy
f,Eve
f,Julia
f,Abigail
f,Claudia
f,Doris
f,Julianne
f,Laurine
f,Livia
f,Cadence
f,Pearl
f,Thelma
f,Suzanne
f,Lucy
f,Helen
f,Georgiana
f,Winifred
f,Edwina
f,Janet
f,Crystal
f,Marilyn
f,Susan
f,Sophie
f,Michelle
f,Juliette
f,Richarda
f,Lorna
f,Julie
f,Josie
f,Judy
f,Alison
f,Averil
f,Bette
f,Catharine
f,Cherry
f,Cindy
f,Corinne
f,Essie
f,Gwendoline
f,Harriette
f,Janice
f,Katrina
f,Kitty
f,Maddy
f,Madge
f,Merry
f,Nathalie
f,Patience
f,Patti
f,Precious
f,Janie
f,Kathleen
f,Arline
f,Bethany
f,Cherie
f,Clarissa
f,Colleen
f,Gardenia
f,Hope
f,Jenny
f,Leanne
f,Melody
f,Myrna
f,Prudence
f,Rhoda
f,Rhonda
f,Wendy
f,Jean
f,Madina
f,Miley
f,Daisy
f,Jennifer
f,Alaina
f,Isla
f,Allette
f,Autumn
f,Phoebe
f,Angela
f,Bernadette
f,Bianca
f,Deana
f,Erika
f,Jasmine
